IP地址,端口,TLS,城市,TCP延迟(ms),速度(MB/s)
34.90.250.142,443,TRUE,Frankfurt,183,7.35
34.65.233.74,443,TRUE,Munich,174,7.33
34.89.241.21,443,TRUE,Frankfurt,167,7.33
34.89.233.207,443,TRUE,Frankfurt,186,7.33
34.65.97.237,443,TRUE,Singapore,176,7.33
34.147.55.44,443,TRUE,Frankfurt,178,7.32
34.107.7.252,443,TRUE,Frankfurt,192,7.32
34.34.35.197,443,TRUE,Frankfurt,178,7.32
34.65.50.224,443,TRUE,Frankfurt,176,7.31
34.65.189.65,443,TRUE,Frankfurt,177,7.3
34.107.61.14,443,TRUE,Frankfurt,270,7.3
34.65.210.130,443,TRUE,Frankfurt,175,7.25
34.89.134.110,443,TRUE,Frankfurt,168,7.23
34.91.44.41,443,TRUE,Frankfurt,185,7.23
35.242.218.152,443,TRUE,Frankfurt,249,7.22
34.65.44.52,443,TRUE,Frankfurt,182,7.22
34.90.84.203,443,TRUE,Paris,178,7.21
34.116.152.212,443,TRUE,Frankfurt,190,7.21
34.90.84.203,443,TRUE,Frankfurt,178,7.21
34.107.57.128,443,TRUE,Frankfurt,201,7.2
34.90.252.225,443,TRUE,Frankfurt,192,7.19
34.32.174.17,443,TRUE,Frankfurt,175,7.19
34.89.134.110,443,TRUE,Frankfurt,185,7.18
34.34.3.81,443,TRUE,Frankfurt,163,7.18
34.91.84.129,443,TRUE,Singapore,186,7.16
34.154.10.75,443,TRUE,Frankfurt,180,7.16
34.90.255.182,443,TRUE,Frankfurt,175,7.16
34.147.16.159,443,TRUE,Frankfurt,212,7.16
34.89.233.207,443,TRUE,Frankfurt,188,7.14
34.147.42.251,443,TRUE,Frankfurt,173,7.13
34.65.62.76,443,TRUE,Frankfurt,189,7.13
34.147.42.251,443,TRUE,Frankfurt,179,7.13
34.116.249.167,443,TRUE,Frankfurt,187,7.12
34.116.203.240,443,TRUE,Frankfurt,261,7.11
34.65.154.40,443,TRUE,Frankfurt,177,7.11
34.65.24.163,443,TRUE,Frankfurt,177,7.1
34.65.246.204,443,TRUE,Frankfurt,178,7.09
34.89.215.58,443,TRUE,Frankfurt,154,7.08
34.90.155.147,443,TRUE,Frankfurt,177,7.07
35.234.95.210,443,TRUE,Frankfurt,166,7.07
34.91.231.245,443,TRUE,Frankfurt,176,7.07
34.34.3.81,443,TRUE,Frankfurt,164,7.06
34.118.42.177,443,TRUE,Frankfurt,211,7.05
34.90.84.203,443,TRUE,Frankfurt,180,7.05
34.65.38.18,443,TRUE,Frankfurt,178,7.05
34.91.164.135,443,TRUE,Singapore,176,7.04
34.65.50.248,443,TRUE,Frankfurt,165,7.03
34.118.56.2,443,TRUE,Frankfurt,188,7.03
34.65.169.36,443,TRUE,Amsterdam,168,7.03
34.159.160.217,443,TRUE,Singapore,179,7.02
34.91.44.41,443,TRUE,Frankfurt,162,7.02
34.34.57.123,443,TRUE,Frankfurt,184,7.02
34.116.240.195,443,TRUE,Amsterdam,187,7
34.141.179.194,443,TRUE,Amsterdam,161,7
34.154.230.25,443,TRUE,Frankfurt,183,6.98
34.159.105.87,443,TRUE,Frankfurt,178,6.96
34.159.114.222,443,TRUE,Frankfurt,170,6.96
34.90.18.246,443,TRUE,Frankfurt,179,6.95
34.65.153.152,443,TRUE,Frankfurt,167,6.95
34.65.198.73,443,TRUE,Frankfurt,165,6.94
34.147.16.159,443,TRUE,Frankfurt,213,6.94
34.154.213.128,443,TRUE,Frankfurt,191,6.93
34.116.235.43,443,TRUE,Frankfurt,197,6.92
34.107.91.0,443,TRUE,Frankfurt,168,6.92
34.65.18.221,443,TRUE,Singapore,175,6.89
34.116.214.43,443,TRUE,Frankfurt,186,6.88
34.34.51.194,443,TRUE,Frankfurt,175,6.87
34.91.188.243,443,TRUE,Frankfurt,178,6.87
34.159.28.199,443,TRUE,Frankfurt,168,6.87
34.116.188.237,443,TRUE,Frankfurt,184,6.86
34.65.96.247,443,TRUE,Singapore,180,6.86
34.90.188.200,443,TRUE,Frankfurt,185,6.85
34.65.78.72,443,TRUE,Frankfurt,178,6.85
34.154.252.71,443,TRUE,Frankfurt,180,6.84
34.65.202.78,443,TRUE,Frankfurt,206,6.82
34.65.229.235,443,TRUE,Frankfurt,175,6.81
34.91.38.218,443,TRUE,Frankfurt,176,6.8
34.116.217.71,443,TRUE,Frankfurt,184,6.8
34.116.180.73,443,TRUE,Frankfurt,187,6.79
34.65.89.138,443,TRUE,Frankfurt,189,6.78
34.34.64.190,443,TRUE,Frankfurt,176,6.75
34.118.32.6,443,TRUE,Frankfurt,173,6.74
34.116.176.165,443,TRUE,Frankfurt,189,6.72
34.65.50.248,443,TRUE,Frankfurt,166,6.72
34.89.215.58,443,TRUE,Frankfurt,155,6.7
34.159.112.17,443,TRUE,Frankfurt,172,6.7
34.65.96.247,443,TRUE,Frankfurt,177,6.69
34.116.234.141,443,TRUE,Frankfurt,257,6.68
34.116.152.212,443,TRUE,Frankfurt,259,6.67
34.147.91.221,443,TRUE,Frankfurt,173,6.63
34.65.62.76,443,TRUE,Frankfurt,184,6.63
34.147.91.221,443,TRUE,Frankfurt,176,6.62
34.116.198.247,443,TRUE,Frankfurt,238,6.59
34.116.228.159,443,TRUE,Frankfurt,253,6.56
34.118.97.186,443,TRUE,Frankfurt,207,6.53
34.116.134.240,443,TRUE,Frankfurt,225,6.53
34.65.44.52,443,TRUE,Frankfurt,178,6.49
34.159.247.120,443,TRUE,Frankfurt,181,6.46
34.118.21.230,443,TRUE,Frankfurt,187,6.45
34.118.49.212,443,TRUE,Frankfurt,191,6.44
34.65.69.203,443,TRUE,Frankfurt,178,6.39
34.65.198.178,443,TRUE,Frankfurt,178,6.39
34.65.26.169,443,TRUE,Frankfurt,177,6.38
34.66.72.229,443,TRUE,Chicago,206,6.36
34.116.217.71,443,TRUE,Frankfurt,229,6.34
34.65.43.234,443,TRUE,Frankfurt,204,6.33
34.116.225.214,443,TRUE,Frankfurt,185,6.32
34.90.188.200,443,TRUE,Frankfurt,162,6.3
34.116.228.159,443,TRUE,Frankfurt,189,6.28
34.118.63.214,443,TRUE,Frankfurt,174,6.28
34.65.147.135,443,TRUE,Frankfurt,187,6.27
34.116.235.211,443,TRUE,Frankfurt,186,6.27
34.65.7.63,443,TRUE,Frankfurt,186,6.26
34.65.182.101,443,TRUE,Frankfurt,174,6.26
34.116.215.27,443,TRUE,Frankfurt,228,6.26
34.65.69.117,443,TRUE,Frankfurt,181,6.24
34.159.73.193,443,TRUE,Frankfurt,170,6.22
35.237.127.69,80,FALSE,Atlanta,218,6.18
34.118.41.156,443,TRUE,Frankfurt,175,6.17
34.65.130.144,443,TRUE,Frankfurt,178,6.17
34.116.249.167,443,TRUE,Frankfurt,229,6.14
34.65.150.119,443,TRUE,Frankfurt,175,6.1
34.65.43.197,443,TRUE,Frankfurt,182,6.09
34.65.69.117,443,TRUE,Frankfurt,188,6.07
34.159.5.116,443,TRUE,Frankfurt,170,6.03
34.65.209.104,443,TRUE,Frankfurt,173,6.02
34.118.8.60,443,TRUE,Frankfurt,235,6.01
34.65.153.152,443,TRUE,Frankfurt,166,5.99
34.65.63.65,443,TRUE,Frankfurt,176,5.97
34.65.106.25,443,TRUE,Munich,202,5.96
34.118.50.212,443,TRUE,Frankfurt,192,5.96
34.65.51.65,443,TRUE,Frankfurt,166,5.95
34.116.159.30,443,TRUE,Frankfurt,186,5.95
34.116.216.206,443,TRUE,Frankfurt,215,5.94
34.118.63.214,443,TRUE,Frankfurt,213,5.92
34.65.84.112,443,TRUE,Frankfurt,177,5.89
34.65.122.235,443,TRUE,Frankfurt,183,5.87
34.116.239.211,443,TRUE,Frankfurt,245,5.85
34.65.69.117,443,TRUE,Frankfurt,189,5.84
34.65.35.178,443,TRUE,Frankfurt,178,5.83
34.116.141.115,443,TRUE,Frankfurt,204,5.79
34.116.158.196,443,TRUE,Frankfurt,240,5.78
34.65.20.102,443,TRUE,Frankfurt,173,5.77
34.65.106.25,443,TRUE,Frankfurt,173,5.76
34.116.181.8,443,TRUE,Frankfurt,183,5.76
34.118.97.186,443,TRUE,Frankfurt,185,5.74
34.118.76.197,443,TRUE,Frankfurt,201,5.72
34.116.239.18,443,TRUE,Frankfurt,187,5.71
34.116.217.223,443,TRUE,Frankfurt,188,5.7
34.65.63.65,443,TRUE,Frankfurt,180,5.69
34.118.57.46,443,TRUE,Frankfurt,187,5.67
34.118.74.131,443,TRUE,Frankfurt,173,5.67
34.116.174.240,443,TRUE,Frankfurt,197,5.66
34.65.29.231,443,TRUE,Frankfurt,177,5.66
34.116.239.211,443,TRUE,Frankfurt,195,5.66
34.118.3.141,443,TRUE,Frankfurt,174,5.64
34.65.16.59,443,TRUE,Frankfurt,177,5.63
34.154.244.63,443,TRUE,Frankfurt,185,5.63
34.116.225.214,443,TRUE,Frankfurt,231,5.61
34.65.198.178,443,TRUE,Frankfurt,172,5.61
34.116.198.247,443,TRUE,Frankfurt,186,5.61
34.116.137.114,443,TRUE,Frankfurt,256,5.6
34.118.41.156,443,TRUE,Frankfurt,186,5.58
34.118.30.198,443,TRUE,Frankfurt,189,5.57
34.118.89.180,443,TRUE,Frankfurt,185,5.57
34.65.189.65,443,TRUE,Frankfurt,174,5.56
34.65.64.244,443,TRUE,Frankfurt,178,5.56
34.159.156.214,443,TRUE,Frankfurt,188,5.56
34.116.156.226,443,TRUE,Frankfurt,200,5.52
34.65.238.241,443,TRUE,Frankfurt,178,5.51
34.65.147.135,443,TRUE,Frankfurt,173,5.51
34.118.100.30,443,TRUE,Frankfurt,192,5.49
34.65.86.254,443,TRUE,Frankfurt,177,5.48
34.65.20.102,443,TRUE,Frankfurt,177,5.45
34.118.74.5,443,TRUE,Frankfurt,189,5.45
34.65.235.63,443,TRUE,Frankfurt,189,5.45
34.65.163.152,443,TRUE,Frankfurt,175,5.44
34.65.29.231,443,TRUE,Frankfurt,173,5.42
34.118.3.141,443,TRUE,Frankfurt,258,5.42
34.116.141.3,443,TRUE,Frankfurt,187,5.4
34.118.75.245,443,TRUE,Frankfurt,185,5.4
34.65.119.116,443,TRUE,Singapore,183,5.39
34.65.252.234,443,TRUE,Frankfurt,176,5.38
